Année publication;Code département;Nombre  d'habitants;Densité de population au km2;Variation de la population sur 10 ans (en %);Dont contribution du solde naturel (en %);Dont contribution du solde migratoire (en %);% population de moins de 20 ans;% population de 60 ans et plus;Taux de chômage au T4 (en %);Taux de pauvreté* (en %)
2023;75;2131104;20296.0;-5.28;6.75;-12.04;18.725646425514665;22.82314706368155;5.6000000000000005;15.4
2023;50;494474;83.0;-1.01;-2.16;1.1400000000000001;21.642593948316797;32.805971598102225;5.1;11.4
2023;84;562700;158.0;2.94;2.53;0.41000000000000003;23.432379598365024;29.403945263906166;9.5;19.5
2023;45;683940;101.0;3.6900000000000004;3.35;0.33999999999999997;25.019153726935112;26.843290347106468;6.9;13.2
2023;2A;161872;40.0;10.99;-1.0999999999999999;12.08;20.20608876149056;31.212933675990907;5.800000000000001;16.3
2023;79;374428;62.0;0.9400000000000001;-1.23;2.17;22.811595286677278;30.874026515111048;5.1;11.9
2023;4;165830;24.0;3.0300000000000002;-2.7199999999999998;5.74;20.73689923415546;34.420792377736234;8.1;16.6
2023;73;441899;73.0;5.48;2.2399999999999998;3.2300000000000004;23.090796765776794;27.50153315576636;5.2;10.3
2023;19;238576;41.0;-1.6;-5.37;3.7699999999999996;19.69602977667494;35.66662195694454;5.8999999999999995;13.1
2023;16;351576;59.0;-0.32;-2.86;2.54;20.768198056750176;33.35295924636494;6.7;14.6
2023;67;1154712;243.0;5.04;3.19;1.8499999999999999;22.64530029998822;25.610888256119274;6.1;13.2
2023;973;290714;3.0;22.38;29.57;-7.19;41.38465983750352;9.864677999683538;10.9;
2023;64;690920;90.0;5.2299999999999995;-1.52;6.74;20.92601169455219;31.631447924506457;5.6000000000000005;12.2
2023;81;392328;68.0;3.88;-2.09;5.970000000000001;21.654839827899107;33.023898370751006;7.7;15.3
2023;29;920279;137.0;2.27;-1.9;4.17;21.91694040611597;31.186520609510808;6.1;11.0
2023;89;332620;45.0;-2.87;-2.35;-0.52;22.454452528410798;32.142985990018644;6.7;14.3
2023;78;1452852;636.0;2.77;7.68;-4.91;26.600713630844712;22.513511355595753;6.3;9.7
2023;62;1459338;219.0;-0.24;1.8399999999999999;-2.08;25.206703313420192;26.187010822715507;8.1;17.8
2023;3;334381;46.0;-2.44;-4.66;2.22;20.204497265095803;35.69311653473134;7.3999999999999995;15.3
2023;1;662032;115.0;9.64;4.0;5.64;25.719451627715884;24.349729318220266;5.4;10.5
2023;82;263504;71.0;7.75;0.52;7.23;24.050488797134008;29.231055316048334;8.6;16.3
